Score Leaderboard (High → Low):
ID    Score    Method             Scaler     Covariance Adjacent Time(s)
143   0.5951   hybrid             robust     spherical  dim23    726.80
37    0.5949   specialized_gmm    robust     full       nan      781.68
56    0.5934   specialized_gmm_v0 robust     spherical  nan      482.90
34    0.5932   specialized_gmm    standard   tied       nan      11.34
20    0.5876   gmm                standard   spherical  nan      81.03
86    0.5866   adjacent_focus     robust     spherical  dim12    1198.03
149   0.5838   hybrid             quantile   tied       nan      33.56
33    0.5817   specialized_gmm    standard   full       nan      707.93
75    0.5803   adjacent_focus     standard   spherical  dim23    1082.28
87    0.5794   adjacent_focus     robust     spherical  dim23    846.74
76    0.5737   adjacent_focus     standard   spherical  dim34    1142.90
74    0.5711   adjacent_focus     standard   spherical  dim12    1485.16
48    0.5645   specialized_gmm    power      spherical  nan      269.16
150   0.5625   hybrid             quantile   tied       dim12    33.88
40    0.5355   specialized_gmm    robust     spherical  nan      74.95
151   0.5345   hybrid             quantile   tied       dim23    33.45

Total submissions count: 176
Total runtime (seconds): 117494.90 (32.64 hrs)
